ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11950097,JD112263,2019-12-31 00:01:00,061XX S ROCKWELL ST,1585,SEX OFFENSE,OTHER,RESIDENCE,False,False,825,8.0,16.0,66.0,17,1160092.0,1863895.0,2019,01/16/2020 03:46:56 PM,41.782231421999995,-87.68860512799999,"(41.782231422, -87.688605128)"
11950669,JD114738,2019-12-31 00:01:00,081XX S DORCHESTER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,411,4.0,8.0,45.0,07,1186952.0,1851395.0,2019,01/16/2020 03:46:56 PM,41.747335439000004,-87.590525611,"(41.747335439, -87.590525611)"
11952769,JD117212,2019-12-31 12:00:00,044XX W 81ST ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,834,8.0,18.0,70.0,06,1148206.0,1850480.0,2019,01/19/2020 03:47:13 PM,41.745654674,-87.732526521,"(41.745654674, -87.732526521)"
11950460,JD114523,2019-12-31 00:01:00,036XX N HALSTED ST,0810,THEFT,OVER $500,APARTMENT,False,False,1923,19.0,44.0,6.0,06,1170277.0,1924297.0,2019,01/16/2020 03:46:56 PM,41.947763579000004,-87.649500126,"(41.947763579, -87.649500126)"
11950571,JD113701,2019-12-31 09:00:00,020XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,131,1.0,3.0,33.0,06,1177530.0,1890539.0,2019,01/16/2020 03:46:56 PM,41.854968236,-87.623866311,"(41.854968236, -87.623866311)"
11951411,JD115504,2019-12-31 00:00:00,015XX S ST LOUIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1021,10.0,24.0,29.0,11,1153288.0,1892212.0,2019,01/17/2020 03:45:52 PM,41.860074323,-87.71280090799999,"(41.860074323, -87.712800908)"
11951649,JD115917,2019-12-31 17:00:00,001XX W 117TH ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,522,5.0,34.0,53.0,06,1177500.0,1827371.0,2019,01/17/2020 03:45:52 PM,41.681629024,-87.625883455,"(41.681629024, -87.625883455)"
11937383,JC566295,2019-12-31 09:40:00,071XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,323,3.0,6.0,69.0,06,1180149.0,1857867.0,2019,01/07/2020 03:52:21 PM,41.765253769,-87.615255549,"(41.765253769, -87.615255549)"
11938294,JC566612,2019-12-31 15:20:00,020XX W 87TH ST,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,STREET,False,False,614,6.0,21.0,70.0,04B,1164299.0,1846954.0,2019,01/07/2020 03:52:21 PM,41.735655324,-87.673657336,"(41.735655324, -87.673657336)"
11937563,JC566554,2019-12-31 14:00:00,015XX W WARREN BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,False,False,1224,12.0,27.0,28.0,11,1166006.0,1900436.0,2019,01/07/2020 03:52:21 PM,41.882379940999996,-87.665881802,"(41.882379941, -87.665881802)"
11937462,JC566468,2019-12-31 11:30:00,112XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,False,False,531,5.0,9.0,49.0,08B,1180909.0,1830584.0,2019,01/07/2020 03:52:21 PM,41.690368459,-87.613306423,"(41.690368459, -87.613306423)"
11938124,JD100001,2019-12-31 23:37:00,012XX W 99TH ST,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,STREET,True,False,2232,22.0,34.0,73.0,26,1170052.0,1839142.0,2019,01/07/2020 03:52:21 PM,41.714095115,-87.65280676299999,"(41.714095115, -87.652806763)"
11937998,JC566880,2019-12-31 19:00:00,002XX W 105TH ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,512,5.0,34.0,49.0,08B,1176474.0,1835312.0,2019,01/07/2020 03:52:21 PM,41.703443363000005,-87.62940161200001,"(41.703443363, -87.629401612)"
11937862,JC566761,2019-12-31 17:21:00,071XX S PRINCETON AVE,0810,THEFT,OVER $500,STREET,False,False,731,7.0,6.0,69.0,06,1175527.0,1857715.0,2019,01/07/2020 03:52:21 PM,41.764941298000004,-87.63220103,"(41.764941298, -87.63220103)"
11937800,JC566872,2019-12-31 19:17:00,029XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,True,False,1931,19.0,32.0,6.0,08A,1165142.0,1919763.0,2019,01/07/2020 03:52:21 PM,41.935432921,-87.668504341,"(41.935432921, -87.668504341)"
11937438,JC566366,2019-12-31 11:15:00,057XX N WINTHROP AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,False,2022,20.0,48.0,77.0,08B,1167826.0,1938353.0,2019,01/07/2020 03:52:21 PM,41.986387017,-87.658102183,"(41.986387017, -87.658102183)"
11938178,JC566977,2019-12-31 21:30:00,001XX N DESPLAINES ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,121,1.0,42.0,28.0,14,1171897.0,1901406.0,2019,01/07/2020 03:52:21 PM,41.884913923,-87.644221525,"(41.884913923, -87.644221525)"
11938846,JC566968,2019-12-31 11:30:00,045XX N KEDZIE AVE,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1724,17.0,33.0,14.0,06,1154229.0,1930067.0,2019,01/07/2020 03:52:21 PM,41.963933029,-87.708334166,"(41.963933029, -87.708334166)"
11937633,JC566606,2019-12-31 14:00:00,046XX W BARRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,2521,25.0,31.0,19.0,14,1144733.0,1920202.0,2019,01/07/2020 03:52:21 PM,41.93704738,-87.743497975,"(41.93704738, -87.743497975)"
11937495,JC566458,2019-12-31 12:46:00,003XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,False,True,722,7.0,20.0,68.0,08B,1175044.0,1862506.0,2019,01/07/2020 03:52:21 PM,41.778099133000005,-87.633828531,"(41.778099133, -87.633828531)"
11937753,JC566768,2019-12-31 17:09:00,080XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,False,631,6.0,8.0,44.0,08B,1183301.0,1851812.0,2019,01/07/2020 03:52:21 PM,41.748565442,-87.603890805,"(41.748565442, -87.603890805)"
11937901,JC566956,2019-12-31 21:08:00,004XX W 61ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,711,7.0,20.0,68.0,08B,1174425.0,1864158.0,2019,01/07/2020 03:52:21 PM,41.782646198,-87.63604868799999,"(41.782646198, -87.636048688)"
11937954,JC567009,2019-12-31 22:37:00,001XX W KINZIE ST,0560,ASSAULT,SIMPLE,BAR OR TAVERN,True,False,1831,18.0,42.0,8.0,08A,1174923.0,1902985.0,2019,01/07/2020 03:52:21 PM,41.889179571999996,-87.633062369,"(41.889179572, -87.633062369)"
11937146,JC566036,2019-12-31 00:25:00,015XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1021,10.0,24.0,29.0,14,1153285.0,1892294.0,2019,01/07/2020 03:52:21 PM,41.860299399,-87.712809744,"(41.860299399, -87.712809744)"
11937508,JC566471,2019-12-31 12:27:00,031XX W MADISON ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1222,12.0,28.0,27.0,24,1155554.0,1899852.0,2019,01/07/2020 03:52:21 PM,41.88099404,-87.704277465,"(41.88099404, -87.704277465)"
11937859,JC566675,2019-12-31 14:25:00,002XX E CHICAGO AVE,1330,CRIMINAL TRESPASS,TO LAND,HOSPITAL BUILDING/GROUNDS,False,False,1833,18.0,2.0,8.0,26,1178058.0,1905778.0,2019,01/07/2020 03:52:21 PM,41.896772914,-87.62146443200001,"(41.896772914, -87.621464432)"
11938419,JD100494,2019-12-31 10:30:00,081XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,613,6.0,21.0,71.0,14,1172053.0,1850915.0,2019,01/07/2020 03:52:21 PM,41.746358235,-87.64513357700001,"(41.746358235, -87.645133577)"
11939508,JD101645,2019-12-31 16:00:00,037XX W 26TH ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,False,1031,10.0,22.0,30.0,06,1151692.0,1886461.0,2019,01/07/2020 03:52:21 PM,41.844324387,-87.718810515,"(41.844324387, -87.718810515)"
11937893,JC566918,2019-12-31 20:09:00,095XX S HOUSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,431,4.0,10.0,51.0,14,1198181.0,1842251.0,2019,01/07/2020 03:52:21 PM,41.721970213,-87.54968528299999,"(41.721970213, -87.549685283)"
11937716,JC566766,2019-12-31 16:46:00,073XX S TALMAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,835,8.0,18.0,66.0,26,1159981.0,1855805.0,2019,01/07/2020 03:52:21 PM,41.760033578000005,-87.689234214,"(41.760033578, -87.689234214)"
11938490,JD100609,2019-12-31 17:00:00,038XX N SHEFFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1923,19.0,46.0,6.0,14,1168916.0,1925716.0,2019,01/07/2020 03:52:21 PM,41.951687058000005,-87.65446149200001,"(41.951687058, -87.654461492)"
11938485,JD100524,2019-12-31 18:40:00,132XX S INDIANA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,533,5.0,9.0,54.0,05,1179940.0,1817405.0,2019,01/07/2020 03:52:21 PM,41.654225471,-87.617254894,"(41.654225471, -87.617254894)"
11937338,JC566208,2019-12-31 08:51:00,055XX N WINTHROP AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,False,2023,20.0,48.0,77.0,26,1167868.0,1936969.0,2019,01/07/2020 03:52:21 PM,41.982588378,-87.657987846,"(41.982588378, -87.657987846)"
11937568,JC566567,2019-12-31 14:08:00,109XX S VERNON AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,False,False,513,5.0,9.0,49.0,03,1181185.0,1832520.0,2019,01/07/2020 03:52:21 PM,41.695674774000004,-87.612236647,"(41.695674774, -87.612236647)"
