ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11665567,JC234307,2019-04-10 16:37:00,102XX S VERNON AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,SCHOOL - PUBLIC BUILDING,False,False,511,5.0,9.0,49.0,17,1181051.0,1837225.0,2019,04/17/2020 03:50:24 PM,41.708589,-87.612583094,"(41.708589, -87.612583094)"
11667963,JC235212,2019-04-12 16:08:00,032XX N KEELER AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,1731,17.0,30.0,16.0,02,1147835.0,1921408.0,2019,10/02/2019 04:13:24 PM,41.940297617,-87.73206647299999,"(41.940297617, -87.732066473)"
11667968,JC237058,2019-04-19 13:57:00,002XX N LARAMIE AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1532,15.0,28.0,25.0,17,1141669.0,1901165.0,2019,03/18/2020 03:52:17 PM,41.884865037,-87.755230327,"(41.884865037, -87.755230327)"
11668309,JC238187,2019-04-25 17:20:00,108XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,513,5.0,9.0,49.0,08B,1180832.0,1833222.0,2019,06/30/2019 03:56:27 PM,41.697609261,-87.613507612,"(41.697609261, -87.613507612)"
11692179,JC261724,2019-05-13 17:26:00,090XX S RACINE AVE,0560,ASSAULT,SIMPLE,STREET,False,False,2222,22.0,21.0,73.0,08A,1169908.0,1844927.0,2019,06/30/2019 03:56:27 PM,41.729973132,-87.653166753,"(41.729973132, -87.653166753)"
11690557,JC266361,2019-05-15 22:30:00,026XX W IOWA ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1211,12.0,26.0,24.0,06,1158543.0,1905889.0,2019,06/30/2019 03:56:27 PM,41.897499466,-87.69313664399999,"(41.897499466, -87.693136644)"
11694459,JC272091,2019-04-27 11:00:00,114XX S RACINE AVE,0820,THEFT,$500 AND UNDER,OTHER,False,False,2234,22.0,34.0,75.0,06,1170375.0,1828976.0,2019,06/30/2019 03:56:27 PM,41.686190998,-87.651918386,"(41.686190998, -87.651918386)"
11694464,JC271999,2019-05-14 10:00:00,021XX S ST LOUIS AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,False,1024,10.0,24.0,29.0,06,1153429.0,1889475.0,2019,06/30/2019 03:56:27 PM,41.85256088,-87.71235599200001,"(41.85256088, -87.712355992)"
11676085,JC249714,2019-05-04 14:00:00,001XX E PEARSON ST,0820,THEFT,$500 AND UNDER,HOTEL/MOTEL,False,False,1833,18.0,2.0,8.0,06,1177578.0,1906074.0,2019,06/30/2019 03:56:27 PM,41.897596066999995,-87.62321837299999,"(41.897596067, -87.623218373)"
11690176,JC264729,2019-05-03 00:01:00,133XX S CORLISS AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,CHA APARTMENT,False,False,533,5.0,9.0,54.0,08B,1184085.0,1817248.0,2019,06/30/2019 03:56:27 PM,41.65369915,-87.602093356,"(41.65369915, -87.602093356)"
