Botanical Name,Street,Latitude,Longitude
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.82611585,-78.83301215
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.82615005,-78.83335164
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.82619969,-78.83381578
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.8262605,-78.83396434
ZELKOVA SERRATA,PARK AVE SOUTH,42.82633335,-78.83402905
ZELKOVA SERRATA,PARK AVE SOUTH,42.82633619,-78.83422994
SYRINGA RETICULATA,PARK AVE SOUTH,42.82639852,-78.83418899
SYRINGA RETICULATA,PARK AVE SOUTH,42.82641534,-78.83402315
ULMUS SPP,PARK AVE SOUTH,42.82642367,-78.8339306
ZELKOVA SERRATA,PARK AVE SOUTH,42.82644175,-78.83415906
ZELKOVA SERRATA,PARK AVE SOUTH,42.82645788,-78.83401934
ZELKOVA SERRATA,PARK AVE SOUTH,42.82649704,-78.83397798
CERCIS CANADENSIS,PARK AVE SOUTH,42.82651926,-78.83411273
CERCIS CANADENSIS,PARK AVE SOUTH,42.82654747,-78.83399181
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82655342,-78.8342328
CERCIS CANADENSIS,PARK AVE SOUTH,42.82658305,-78.83409519
VACANT,PARK AVE SOUTH,42.82665432,-78.83390534
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82667551,-78.83423632
ULMUS RUBRA,PARK AVE SOUTH,42.82686735,-78.83384334
CARYA GLABRA,PARK AVE SOUTH,42.82688346,-78.82687704
FRAXINUS AMERICANA,PARK AVE SOUTH,42.82688366,-78.82451476
ACER PLATANOIDES,PARK AVE SOUTH,42.82689689,-78.82432274
ACER PLATANOIDES,PARK AVE SOUTH,42.82690052,-78.82432597
JUGLANS NIGRA,PARK AVE SOUTH,42.82690278,-78.82433885
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.82690616,-78.82656314
ACER PLATANOIDES,PARK AVE SOUTH,42.82690753,-78.82434006
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.82690943,-78.82659832
VACANT,PARK AVE SOUTH,42.82691647,-78.82670423
VACANT,PARK AVE SOUTH,42.82691765,-78.82670474
ACER PLATANOIDES,PARK AVE SOUTH,42.82691862,-78.8243144
PINUS STROBUS,PARK AVE SOUTH,42.82691952,-78.82771931
PLATANUS X ACERIFOLIA,PARK AVE SOUTH,42.8269196,-78.82656119
ACER PLATANOIDES,PARK AVE SOUTH,42.82692258,-78.82430129999999
ACER PLATANOIDES,PARK AVE SOUTH,42.82692301,-78.82455178
PINUS STROBUS,PARK AVE SOUTH,42.8269232,-78.82514506
PINUS STROBUS,PARK AVE SOUTH,42.82693011,-78.82559681
TSUGA CANADENSIS,PARK AVE SOUTH,42.82693313,-78.82798444
CORNUS MAS,PARK AVE SOUTH,42.82693385,-78.8257567
PINUS STROBUS,PARK AVE SOUTH,42.82693386,-78.82522435
CORNUS MAS,PARK AVE SOUTH,42.82693614,-78.82579567
UNKNOWN TREE,PARK AVE SOUTH,42.82693669,-78.8262776
PINUS PALUSTRIS,PARK AVE SOUTH,42.8269391,-78.82739992
VACANT,PARK AVE SOUTH,42.82693982,-78.82531411
PINUS STROBUS,PARK AVE SOUTH,42.82694224,-78.82779696
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82694296,-78.82702381
VACANT,PARK AVE SOUTH,42.82694467,-78.8250877
VACANT,PARK AVE SOUTH,42.82695087,-78.82547487
CORNUS MAS,PARK AVE SOUTH,42.82695686,-78.82595254
VACANT,PARK AVE SOUTH,42.82696091,-78.8273557
PINUS NIGRA,PARK AVE SOUTH,42.82696255,-78.82540269
PINUS NIGRA,PARK AVE SOUTH,42.826963299999996,-78.82792187
CORNUS MAS,PARK AVE SOUTH,42.82696506,-78.82574957
CORNUS MAS,PARK AVE SOUTH,42.82696515,-78.82598872
VACANT,PARK AVE SOUTH,42.82696534,-78.82588151
VACANT,PARK AVE SOUTH,42.82696604,-78.82588108
PINUS STROBUS,PARK AVE SOUTH,42.82696891,-78.82554951
FRAXINUS AMERICANA,PARK AVE SOUTH,42.82697184,-78.82592464
PINUS NIGRA,PARK AVE SOUTH,42.82697185,-78.82804054
VACANT,PARK AVE SOUTH,42.82697316,-78.82790465
JUGLANS NIGRA,PARK AVE SOUTH,42.82697469,-78.82723308
VACANT,PARK AVE SOUTH,42.82697571,-78.82521003
GINKGO BILOBA,PARK AVE SOUTH,42.8269761,-78.82425067
GINKGO BILOBA,PARK AVE SOUTH,42.82697725,-78.82430146
PINUS STROBUS,PARK AVE SOUTH,42.82697832,-78.82503267
PINUS STROBUS,PARK AVE SOUTH,42.82697837,-78.82563964
PINUS STROBUS,PARK AVE SOUTH,42.826986700000006,-78.82514632
PINUS NIGRA,PARK AVE SOUTH,42.82698776,-78.8254392
PINUS NIGRA,PARK AVE SOUTH,42.82698973,-78.82538541
PINUS STROBUS,PARK AVE SOUTH,42.82699470000001,-78.82753708
MORUS RUBRA,PARK AVE SOUTH,42.82699585,-78.8277269
PINUS NIGRA,PARK AVE SOUTH,42.82701307,-78.82767966
PINUS PALUSTRIS,PARK AVE SOUTH,42.82701605,-78.82773181
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82702311,-78.82710932
PINUS NIGRA,PARK AVE SOUTH,42.82702986,-78.82763427
PICEA PUNGENS,PARK AVE SOUTH,42.82704388,-78.82561085
PICEA PUNGENS,PARK AVE SOUTH,42.82704573,-78.82566431
PICEA PUNGENS,PARK AVE SOUTH,42.82704871,-78.82526548
PICEA ABIES,PARK AVE SOUTH,42.82705047,-78.82531988
PICEA PUNGENS,PARK AVE SOUTH,42.8270573,-78.82517558
ACER SACCHARINUM,PARK AVE SOUTH,42.82705823,-78.82508625
PINUS STROBUS,PARK AVE SOUTH,42.82706065,-78.82792839
QUERCUS RUBRA,PARK AVE SOUTH,42.82707774,-78.82616721
PICEA PUNGENS,PARK AVE SOUTH,42.82708562,-78.82566552
VACANT,PARK AVE SOUTH,42.8270919,-78.82514262
PINUS SYLVESTRIS,PARK AVE SOUTH,42.82709268,-78.82507123
FRAXINUS AMERICANA,PARK AVE SOUTH,42.82709344,-78.83018534
FRAXINUS AMERICANA,PARK AVE SOUTH,42.82713253,-78.8242372
QUERCUS RUBRA,PARK AVE SOUTH,42.82714988,-78.82547898
MALUS SPP,PARK AVE SOUTH,42.82717203,-78.82476729
QUERCUS RUBRA,PARK AVE SOUTH,42.82721429,-78.82523462
JUGLANS NIGRA,PARK AVE SOUTH,42.82722519,-78.82890663
FRAXINUS AMERICANA,PARK AVE SOUTH,42.82722565,-78.82418921
ULMUS RUBRA,PARK AVE SOUTH,42.82722572,-78.83396372
QUERCUS RUBRA,PARK AVE SOUTH,42.82722632,-78.82792604
JUGLANS NIGRA,PARK AVE SOUTH,42.82725861,-78.82878054
QUERCUS RUBRA,PARK AVE SOUTH,42.82726113,-78.8272503
VACANT,PARK AVE SOUTH,42.82727038,-78.82939252
JUGLANS NIGRA,PARK AVE SOUTH,42.82727656,-78.82868723
JUGLANS NIGRA,PARK AVE SOUTH,42.82727845,-78.82895993
JUGLANS NIGRA,PARK AVE SOUTH,42.82729329,-78.82884841
QUERCUS RUBRA,PARK AVE SOUTH,42.82731029999999,-78.82794275
MAGNOLIA SPP,PARK AVE SOUTH,42.82732207,-78.82432548
QUERCUS RUBRA,PARK AVE SOUTH,42.82734176,-78.82739561
CARYA GLABRA,PARK AVE SOUTH,42.82736158,-78.82896718
PRUNUS SERRULATA 'KWANZAN',PARK AVE SOUTH,42.8273658,-78.82417089
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82737354,-78.8286552
CATALPA SPECIOSA,PARK AVE SOUTH,42.82737995,-78.82445507
QUERCUS RUBRA,PARK AVE SOUTH,42.82739224,-78.82776451
QUERCUS MACROCARPA,PARK AVE SOUTH,42.827394399999996,-78.82804297
QUERCUS RUBRA,PARK AVE SOUTH,42.82741455,-78.83056182
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82741529,-78.82878943
QUERCUS RUBRA,PARK AVE SOUTH,42.82741987,-78.83011983
QUERCUS RUBRA,PARK AVE SOUTH,42.82742196,-78.83043953
QUERCUS RUBRA,PARK AVE SOUTH,42.82742255,-78.83067357
QUERCUS RUBRA,PARK AVE SOUTH,42.82742349,-78.83023407
QUERCUS RUBRA,PARK AVE SOUTH,42.82742775,-78.83002464
QUERCUS RUBRA,PARK AVE SOUTH,42.82742826,-78.83033726
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82743133,-78.82822689
QUERCUS RUBRA,PARK AVE SOUTH,42.82743546,-78.83080655
VACANT,PARK AVE SOUTH,42.82743553,-78.82989271
QUERCUS RUBRA,PARK AVE SOUTH,42.82744335,-78.831125
CELTIS OCCIDENTALIS,PARK AVE SOUTH,42.82744774,-78.83390215
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82745009,-78.82976657
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82745219,-78.83100077
QUERCUS LAEVIS,PARK AVE SOUTH,42.82745278,-78.83138715
VACANT,PARK AVE SOUTH,42.82745747,-78.82961083
VACANT,PARK AVE SOUTH,42.82745853,-78.82961026
GINKGO BILOBA,PARK AVE SOUTH,42.82745934,-78.82937648
QUERCUS RUBRA,PARK AVE SOUTH,42.82746696,-78.82949455
QUERCUS RUBRA,PARK AVE SOUTH,42.82747107,-78.83151925
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82747149,-78.82905434
PRUNUS SERRULATA 'KWANZAN',PARK AVE SOUTH,42.82747245,-78.82417645
QUERCUS RUBRA,PARK AVE SOUTH,42.82747698,-78.82925856
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82748506,-78.83166104
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82748818,-78.83275541
CELTIS OCCIDENTALIS,PARK AVE SOUTH,42.82749009,-78.83390768
QUERCUS RUBRA,PARK AVE SOUTH,42.8274947,-78.83182611
VACANT,PARK AVE SOUTH,42.82856286,-78.82723682
CELTIS OCCIDENTALIS,PARK AVE SOUTH,42.82749931,-78.83389102
PICEA PUNGENS,PARK AVE SOUTH,42.82750595,-78.82440051
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82751419,-78.82719744
JUGLANS NIGRA,PARK AVE SOUTH,42.82752215,-78.83381873
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82752441,-78.83196602
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82753123,-78.83262454
VACANT,PARK AVE SOUTH,42.82753186,-78.83379726
VACANT,PARK AVE SOUTH,42.82753195,-78.83379821
QUERCUS RUBRA,PARK AVE SOUTH,42.82753487,-78.83250767
QUERCUS RUBRA,PARK AVE SOUTH,42.82754841,-78.83210397
QUERCUS RUBRA,PARK AVE SOUTH,42.82754932,-78.83234214
VACANT,PARK AVE SOUTH,42.8275674,-78.83382809
QUERCUS RUBRA,PARK AVE SOUTH,42.82758871,-78.82755861
VACANT,PARK AVE SOUTH,42.82760065,-78.83370167
VACANT,PARK AVE SOUTH,42.82760949,-78.83379058
VACANT,PARK AVE SOUTH,42.8276098,-78.83379025
MORUS ALBA,PARK AVE SOUTH,42.82761418,-78.82768216
MORUS ALBA,PARK AVE SOUTH,42.82761457,-78.8278555
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82763057,-78.82888075
STUMP,PARK AVE SOUTH,42.82763239,-78.83089567
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82763729,-78.82895713
ULMUS SPP,PARK AVE SOUTH,42.82763762,-78.82865787
JUGLANS NIGRA,PARK AVE SOUTH,42.82764035,-78.83359749
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82764183,-78.82893054
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82764183,-78.82892544
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82764579,-78.82897813
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82764592,-78.82885585
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82765043,-78.83014283
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82765174,-78.83070862
RHAMNUS CATHARTICA,PARK AVE SOUTH,42.82765272,-78.82898759999999
STUMP,PARK AVE SOUTH,42.82765478,-78.83102645
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.8276608,-78.8304657
STUMP,PARK AVE SOUTH,42.82766281,-78.83079132
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.827663799999996,-78.83058383
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.827664399999996,-78.82872893
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82766526,-78.82861873
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.8276666,-78.83036232
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82766726,-78.82980192
QUERCUS RUBRA,PARK AVE SOUTH,42.82766749,-78.82850226
CRATAEGUS SPP,PARK AVE SOUTH,42.82766792,-78.82895513
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82766988,-78.83024426
VACANT,PARK AVE SOUTH,42.82767043,-78.82882883
VACANT,PARK AVE SOUTH,42.82767083,-78.82882985
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82767118,-78.82877177
JUGLANS NIGRA,PARK AVE SOUTH,42.82767376,-78.82868264
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82767759,-78.8286185
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.8276802,-78.83125082
VACANT,PARK AVE SOUTH,42.82768025,-78.82943893
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82768249,-78.82953654
QUERCUS RUBRA,PARK AVE SOUTH,42.82768673,-78.82822204
VACANT,PARK AVE SOUTH,42.8276875,-78.82928697
VACANT,PARK AVE SOUTH,42.82768972,-78.83373415
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82768984,-78.83002544
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82768988,-78.83144958
VACANT,PARK AVE SOUTH,42.82769045,-78.83373541
CRATAEGUS SPP,PARK AVE SOUTH,42.8276918,-78.82713786
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.8276925,-78.83155832
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82769599,-78.82863293
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82769611,-78.82988948
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82770025,-78.82886489
VACANT,PARK AVE SOUTH,42.82770054,-78.82886622
QUERCUS RUBRA,PARK AVE SOUTH,42.8277013,-78.82896883
FAGUS SYLVATICA,PARK AVE SOUTH,42.82770345,-78.82791137
QUERCUS RUBRA,PARK AVE SOUTH,42.82770405,-78.82922473
GINKGO BILOBA,PARK AVE SOUTH,42.82770908,-78.83349161
ULMUS RUBRA,PARK AVE SOUTH,42.82771273,-78.83376171
ROBINIA PSEUDOACACIA,PARK AVE SOUTH,42.82771991,-78.82886278
JUGLANS NIGRA,PARK AVE SOUTH,42.82773521,-78.83115656
VACANT,PARK AVE SOUTH,42.8277388,-78.82882988
VACANT,PARK AVE SOUTH,42.82773903,-78.8288291
QUERCUS RUBRA,PARK AVE SOUTH,42.82774843,-78.82917163
CARYA SPP,PARK AVE SOUTH,42.82775266,-78.82863564
QUERCUS RUBRA,PARK AVE SOUTH,42.82775458,-78.82765675
VACANT,PARK AVE SOUTH,42.82776363,-78.83369249
VACANT,PARK AVE SOUTH,42.82776379,-78.83369134
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82777283,-78.8337993
QUERCUS RUBRA,PARK AVE SOUTH,42.82777532,-78.82815017
CRATAEGUS SPP,PARK AVE SOUTH,42.8277759,-78.82897507
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82778784,-78.83223689
QUERCUS BICOLOR,PARK AVE SOUTH,42.82779444,-78.82444389
QUERCUS RUBRA,PARK AVE SOUTH,42.82779683,-78.82807126
ULMUS CARPINIFOLIA,PARK AVE SOUTH,42.82780075,-78.83234896
VACANT,PARK AVE SOUTH,42.82782186,-78.83367804
VACANT,PARK AVE SOUTH,42.82782187,-78.83367802
FAGUS SYLVATICA,PARK AVE SOUTH,42.82783084,-78.82760505
GINKGO BILOBA,PARK AVE SOUTH,42.82783178,-78.83347592
VACANT,PARK AVE SOUTH,42.82784143,-78.83370476
VACANT,PARK AVE SOUTH,42.82784153,-78.8337043
FAGUS SYLVATICA,PARK AVE SOUTH,42.8278453,-78.82795408
RHAMNUS CATHARTICA,PARK AVE SOUTH,42.82785076,-78.83226789
ACER PLATANOIDES,PARK AVE SOUTH,42.82785435,-78.83040441
VACANT,PARK AVE SOUTH,42.8278597,-78.82757329
GINKGO BILOBA,PARK AVE SOUTH,42.82786008,-78.83360224
VACANT,PARK AVE SOUTH,42.8278607,-78.82757261
FAGUS SYLVATICA,PARK AVE SOUTH,42.82786539,-78.82784306
VACANT,PARK AVE SOUTH,42.82786621,-78.82973099
